1;2019-01-07;1;1;33,8
2;2019-01-07;2;2;36,4
3;2019-01-08;3;3;19,5
4;2019-01-11;1;4;45,5
5;2019-01-14;3;5;45,5
6;2019-01-21;4;6;19,5
7;2019-01-21;5;6;19,5
8;2019-02-07;4;7;32,5
9;2019-02-07;5;7;32,5
10;2019-02-08;1;4;45,5
11;2019-02-08;2;2;36,4
12;2019-02-11;4;8;22,1
13;2019-02-11;5;8;22,1
14;2019-02-14;1;1;33,8
15;2019-02-21;4;9;24,7
16;2019-02-21;5;9;24,7
17;2019-02-22;4;7;32,5
18;2019-02-22;5;7;32,5
19;2019-02-23;1;2;36,4
20;2019-02-23;2;2;36,4
21;2019-02-24;1;4;45,5
22;2019-03-02;3;9;24,7
23;2019-03-04;1;7;32,5
24;2019-03-04;2;7;32,5
25;2019-03-06;3;5;45,5
26;2019-03-06;3;4;45,5
27;2019-03-07;4;7;32,5
28;2019-03-07;5;7;32,5
29;2019-03-08;4;6;19,5
30;2019-03-08;5;6;19,5
31;2019-03-08;1;2;36,4
32;2019-03-08;2;2;36,4
33;2019-03-09;2;2;36,4
34;2019-03-10;2;2;36,4
35;2019-03-11;4;8;22,1
36;2019-03-11;5;8;22,1
37;2019-03-11;2;2;36,4
38;2019-03-19;1;1;33,8
39;2019-04-07;4;7;32,5
40;2019-04-07;1;1;33,8
41;2019-04-08;2;2;36,4
42;2019-04-11;4;8;22,1
43;2019-04-11;5;8;22,1
44;2019-04-21;4;6;19,5
45;2019-05-06;3;5;45,5
46;2019-05-06;3;3;19,5
47;2019-05-08;4;6;19,5
48;2019-05-11;4;8;22,1
49;2019-05-11;5;8;22,1
50;2019-05-19;1;1;33,8
51;2019-05-19;2;1;33,8
52;2019-05-21;4;9;24,7
53;2019-06-02;1;4;45,5
54;2019-06-02;2;4;45,5
55;2019-06-07;1;1;33,8
56;2019-06-07;2;1;33,8
57;2019-06-11;4;8;22,1
58;2019-06-14;3;5;45,5
59;2019-06-21;4;6;19,5
60;2019-07-06;3;5;45,5
61;2019-07-06;3;5;45,5
62;2019-07-06;3;5;45,5
63;2019-07-06;3;1;33,8
64;2019-07-06;3;3;19,5
65;2019-07-08;4;6;19,5
66;2019-07-08;4;6;19,5
67;2019-07-14;1;1;33,8
68;2019-07-14;2;1;33,8
69;2019-07-19;1;1;33,8
70;2019-07-19;1;1;33,8
71;2019-07-21;4;6;19,5
72;2019-07-21;4;6;19,5
73;2019-07-22;2;2;36,4
74;2019-08-02;3;9;24,7
75;2019-08-04;2;7;32,5
76;2019-08-07;4;7;32,5
77;2019-08-07;1;1;33,8
78;2019-08-07;1;1;33,8
79;2019-08-08;3;3;19,5
80;2019-08-08;3;3;19,5
81;2019-08-08;2;2;36,4
82;2019-08-11;4;8;22,1
83;2019-08-14;3;6;19,5
84;2019-08-14;3;5;45,5
85;2019-08-21;4;6;19,5
86;2019-08-21;4;6;19,5
87;2019-09-06;3;5;45,5
88;2019-09-06;3;3;19,5
89;2019-09-08;4;5;45,5
90;2019-09-11;4;9;24,7
91;2019-09-14;1;1;33,8
92;2019-10-07;4;5;45,5
93;2019-10-08;4;5;45,5
94;2019-10-08;2;2;36,4
95;2019-10-11;4;8;22,1
96;2019-10-11;4;8;22,1
97;2019-10-19;1;1;33,8
98;2019-10-21;5;6;19,5
99;2019-10-30;4;8;22,1
100;2019-10-31;4;7;32,5
101;2019-11-06;3;5;45,5
102;2019-11-07;4;7;32,5
103;2019-11-07;2;7;32,5
104;2019-11-08;4;6;19,5
105;2019-11-08;3;9;24,7
106;2019-11-11;4;8;22,1
107;2019-12-06;3;5;45,5
108;2019-12-06;3;3;19,5
109;2019-12-07;4;7;32,5
110;2019-12-08;4;6;19,5
111;2019-12-08;2;2;36,4
112;2019-12-11;4;8;22,1
113;2019-12-14;1;1;33,8
114;2019-12-15;1;1;33,8
115;2019-12-16;1;1;33,8
116;2019-12-17;1;1;33,8
117;2019-12-18;1;1;33,8
118;2019-12-19;1;1;33,8
119;2019-12-20;1;1;33,8
120;2019-12-21;1;1;33,8
121;2019-12-22;1;1;33,8
122;2019-12-23;1;1;33,8
123;2019-12-24;1;1;33,8
124;2019-12-25;1;1;33,8
125;2019-12-26;1;1;33,8
126;2019-12-27;1;1;33,8
127;2019-12-28;1;1;33,8
128;2019-12-29;1;1;33,8
129;2019-12-30;1;1;33,8
130;2019-12-31;1;1;33,8
131;2020-01-01;1;1;33,8
132;2020-01-02;1;1;33,8
133;2020-01-03;1;1;33,8
134;2020-01-04;1;1;33,8
135;2020-01-05;1;1;33,8
136;2020-01-06;1;1;33,8
137;2020-01-07;1;1;33,8
138;2020-01-08;1;1;33,8
139;2020-01-09;1;1;33,8
140;2020-01-10;1;1;33,8
141;2020-01-11;1;1;33,8
142;2020-01-12;1;1;33,8
143;2020-01-13;1;1;33,8
144;2020-01-14;1;1;33,8
145;2020-01-15;1;1;33,8
146;2020-01-16;1;1;33,8
147;2020-01-17;1;1;33,8
148;2020-01-18;1;1;33,8
149;2020-01-19;1;1;33,8
150;2020-01-20;1;1;33,8
151;2020-01-21;1;1;33,8
152;2020-01-22;1;1;33,8
153;2020-01-23;1;1;33,8
154;2020-01-24;1;1;33,8
155;2020-01-25;1;1;33,8
